task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__id,taskinfo__image_url,taskinfo__source_uri
0,2015-05-04T15:58:57.309567,589,"{""source_uri"": ""http://www.doctorswithoutborders.org/our-work/medical-issues/ebola"", ""image_url"": ""http://www.doctorswithoutborders.org/sites/usa/files/styles/article_homepage/https/media.msf.org/Doc/MSF/Media/CMS1/4/5/e/4/MSB13290.jpg"", ""id"": ""42""}",15,0,27,0,completed,42,http://www.doctorswithoutborders.org/sites/usa/files/styles/article_homepage/https/media.msf.org/Doc/MSF/Media/CMS1/4/5/e/4/MSB13290.jpg,http://www.doctorswithoutborders.org/our-work/medical-issues/ebola
0,2015-05-04T15:58:57.403314,590,"{""source_uri"": ""http://www.doctorswithoutborders.org/our-work/medical-issues/ebola"", ""image_url"": ""http://www.doctorswithoutborders.org/sites/usa/files/styles/detail_page_header_left_sidebar/https/media.msf.org/Doc/MSF/Media/TR1/9/c/a/7/MSB13567.jpg"", ""id"": ""43""}",15,0,27,0,completed,43,http://www.doctorswithoutborders.org/sites/usa/files/styles/detail_page_header_left_sidebar/https/media.msf.org/Doc/MSF/Media/TR1/9/c/a/7/MSB13567.jpg,http://www.doctorswithoutborders.org/our-work/medical-issues/ebola
0,2015-05-04T15:58:57.460716,591,"{""source_uri"": ""https://commons.wikimedia.org/w/index.php?title=Special:Search&limit=20&offset=20&profile=default&search=ebola+ppe"", ""image_url"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Ebola_Treatment_Unit.jpg/800px-Ebola_Treatment_Unit.jpg"", ""id"": ""44""}",15,0,27,0,completed,44,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Ebola_Treatment_Unit.jpg/800px-Ebola_Treatment_Unit.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Search&limit=20&offset=20&profile=default&search=ebola+ppe
0,2015-05-04T15:58:57.492214,592,"{""source_uri"": ""http://www.npr.org/blogs/goatsandsoda/2014/07/24/334948345/this-suit-keeps-ebola-out-so-how-can-a-health-worker-catch-it"", ""image_url"": ""http://media.npr.org/assets/img/2014/07/24/ebola-suit-1_slide-361a142046f38abb5fe36da77883619cbb68fd2d-s4-c85.jpg"", ""id"": ""45""}",15,0,27,0,completed,45,http://media.npr.org/assets/img/2014/07/24/ebola-suit-1_slide-361a142046f38abb5fe36da77883619cbb68fd2d-s4-c85.jpg,http://www.npr.org/blogs/goatsandsoda/2014/07/24/334948345/this-suit-keeps-ebola-out-so-how-can-a-health-worker-catch-it
0,2015-05-04T15:58:57.523101,593,"{""source_uri"": ""http://www.thanhniennews.com/health/ebola-vaccine-fully-successful-in-monkey-tests-30855.html"", ""image_url"": ""http://img.qz.com/2014/10/ebola-africa-protective-gear.jpg?w=940"", ""id"": ""46""}",15,0,27,0,completed,46,http://img.qz.com/2014/10/ebola-africa-protective-gear.jpg?w=940,http://www.thanhniennews.com/health/ebola-vaccine-fully-successful-in-monkey-tests-30855.html
0,2015-05-04T15:58:57.549819,594,"{""source_uri"": ""http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009"", ""image_url"": ""http://www.dw.de/image/0,,17895703_401,00.jpg"", ""id"": ""47""}",15,0,27,0,completed,47,"http://www.dw.de/image/0,,17895703_401,00.jpg",http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009
0,2015-05-04T15:58:57.574426,595,"{""source_uri"": ""http://www.dw.de/un-gravely-concerned-over-food-shortages-in-ebola-hit-countries/a-17894914"", ""image_url"": ""http://www.dw.de/image/0,,17873834_303,00.jpg"", ""id"": ""48""}",15,0,27,0,completed,48,"http://www.dw.de/image/0,,17873834_303,00.jpg",http://www.dw.de/un-gravely-concerned-over-food-shortages-in-ebola-hit-countries/a-17894914
0,2015-05-04T15:58:57.598976,596,"{""source_uri"": ""http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009"", ""image_url"": ""http://www.dw.de/image/0,,17887090_401,00.jpg"", ""id"": ""49""}",15,0,27,0,completed,49,"http://www.dw.de/image/0,,17887090_401,00.jpg",http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009
0,2015-05-04T15:58:57.626479,597,"{""source_uri"": ""http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009"", ""image_url"": ""http://www.dw.de/static/stills/images/je/je20141007_ebolan23a_image_512x288_3.jpg"", ""id"": ""50""}",15,0,27,0,completed,50,http://www.dw.de/static/stills/images/je/je20141007_ebolan23a_image_512x288_3.jpg,http://www.dw.de/failures-in-the-fight-against-ebola/a-17897009
0,2015-05-04T15:58:57.655563,598,"{""source_uri"": ""http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html"", ""image_url"": ""http://news.bbcimg.co.uk/media/images/78062000/jpg/_78062264_c0215902-coloured_tem_of_the_ebola_virus-spl.jpg"", ""id"": ""51""}",15,0,27,0,completed,51,http://news.bbcimg.co.uk/media/images/78062000/jpg/_78062264_c0215902-coloured_tem_of_the_ebola_virus-spl.jpg,http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html
